Company,LemFi Relevance Score,Tier,Category,Main Employee Location,In Original List,Status,Last Funding Stage,Valuation Band,Est. Valuation / ARR (notes),Data Confidence,Category Fit,Market Overlap,Product Adjacency,Talent / Stage Poachability,Growth / Heat,Flags / Competitive Notes
Piggyvest,87.3,A — Priority,Savings / Investments / Wealth,Nigeria,Yes,Private,Bootstrapped/Growth,$50-250M,Nigeria's leading savings+investing app; profitable; mass-market,High,86,100,80,74,85,Nigeria — core; direct savings/invest overlap
Onafriq,87,A — Priority,Payment Infrastructure,Nigeria,Yes,Private,Late/Growth,$250M-1B,Pan-African mobile-money interoperability (ex-MFS Africa),High,95,100,78,76,70,Pan-African rails — directly relevant
Djamo,86.7,A — Priority,Neobanks,Cote d'Ivoire,,Private,Series B,$50-250M,Cote d'Ivoire/Senegal neobank; YC; ~$17m 2025,High,90,95,68,86,85,Francophone WA — core hiring market
Ebury,86.2,A — Priority,Payment Infrastructure,"UK, Spain",,Subsidiary,Santander-majority,$1-10B,UK cross-border FX/payments for SMEs; IPO-bound,High,95,100,78,72,68,Cross-border FX talent; UK/Spain
Cleo,86.2,A — Priority,Savings / Investments / Wealth,UK,Yes,Private,Series C,$1-10B,UK AI finance assistant ~$0.5-1B; US consumer; fast-growing,High,86,100,65,88,82,UK; AI-native consumer talent
Zolve,86.1,A — Priority,Neobanks,"India, USA",,Private,Series B,$250M-1B,Cross-border neobank for immigrants (India->US); ~$0.5B,High,90,83,82,86,88,Direct migrant-banking thesis; India-US corridor
Volt,85.8,A — Priority,Payment Infrastructure,UK,,Private,Series B,$50-250M,UK global A2A/open-payments,Medium,95,100,62,86,70,UK; A2A rails
Allica Bank,85.8,A — Priority,Neobanks,UK,,Private,Series C,$1-10B,"UK SME bank ~$1B+; profitable, fast-growing",Medium,90,100,55,88,82,UK talent
HUB2,85.6,A — Priority,Payment Infrastructure,Cote d'Ivoire,,Private,Series A,<$50M,Cote d'Ivoire Francophone payments API ($8.5m Series A),High,95,95,68,70,82,Francophone WA — core hiring market
Sendwave,85.6,A — Priority,Remittance Payments,"UK, USA",Yes,Subsidiary,Acquired (Zepz),n/a,Part of Zepz (WorldRemit); African/Asian diaspora remittance,High,100,100,72,78,58,Direct competitor (Zepz group)
Maplerad,85.6,A — Priority,Payment Infrastructure,Nigeria,,Private,Seed/Series A,<$50M,Nigeria/Pan-African banking+payments API; YC,Medium,95,100,72,64,75,Nigeria — core; multi-product infra
Tide,85.6,A — Priority,Neobanks,UK,,Private,Series C,$250M-1B,UK SME banking; expanding India/Germany,Medium,90,100,62,88,75,UK + India corridor
Stripe,85.6,A — Priority,Card Payment Processors,"USA, UK",Yes,Private,Late/Growth,$10B+,~$91.5B 2025; global payments leader; elite talent,High,78,100,82,76,85,Premier global fintech talent pool
Payoneer,85.2,A — Priority,Payment Infrastructure,UK,Yes,Public,Public (Nasdaq),Public,Nasdaq:PAYO; global cross-border SMB payments,High,95,100,80,70,62,Direct cross-border peer; corridors
Currencycloud,85.1,A — Priority,Payment Infrastructure,UK,,Subsidiary,Visa-owned,n/a,"UK cross-border infra, Visa-owned",Medium,95,100,78,78,58,Cross-border rails talent
Starling Bank,85,A — Priority,Neobanks,UK,Yes,Private,Late/Growth,$1-10B,UK profitable neobank ~$2.5B; Engine SaaS,High,90,100,68,76,75,UK talent; banking-infra spin (Engine)
Nium,84.9,A — Priority,Payment Infrastructure,India,Yes,Private,Series E,$1-10B,Cross-border B2B payments ~$1.4B; global rails; India roots,High,95,80,82,80,82,Direct cross-border rails peer; corridors
Julaya,84.8,A — Priority,Payment Infrastructure,Cote d'Ivoire,,Private,Series A,<$50M,Cote d'Ivoire B2B payments/disbursements,High,95,95,65,70,80,Francophone WA — core hiring market
Zepz,84.7,A — Priority,Remittance Payments,"UK, USA",Yes,Private,Late/Growth,$1-10B,"WorldRemit+Sendwave; ~$5B peak val, layoffs 2023-24; diaspora remittance",High,100,100,75,76,52,Direct competitor; talent availability rising
GoCardless,84.6,A — Priority,Payment Infrastructure,UK,Yes,Private,Late/Growth,$1-10B,UK bank-debit/A2A payments unicorn ~$2.1B,High,95,100,68,76,65,UK; A2A rails talent
Form3,84.6,A — Priority,Payment Infrastructure,UK,,Private,Series C,$250M-1B,UK cloud payments infra for banks,Medium,95,100,62,88,62,UK rails talent
Modulr,84.6,A — Priority,Payment Infrastructure,UK,,Private,Series C,$250M-1B,UK embedded payments/accounts infra,Medium,95,100,62,88,62,UK rails talent
Trading 212,84.6,A — Priority,Savings / Investments / Wealth,UK,,Private,Bootstrapped/Growth,$1-10B,UK neobroker; highly profitable; surging,High,86,100,62,74,85,"UK; investments — hot, profitable"
Branch,84.6,A — Priority,Consumer Credit,"Nigeria, India",,Private,Series C,$250M-1B,Africa/India micro-lending (Nigeria/Kenya); ~$0.5B,Medium,88,100,65,88,70,Nigeria/Kenya/India corridors
Zopa Bank,84.5,A — Priority,Neobanks,UK,Yes,Private,Series D,$1-10B,UK bank ~$1B; profitable; P2P heritage,Medium,90,100,62,84,72,UK talent
PalmPay,84.5,A — Priority,Card Payment Processors,Nigeria,Yes,Private,Late/Growth,$250M-1B,Nigeria payments superapp; Transsion-backed; soonicorn,High,78,100,75,76,85,Nigeria — core market; multi-product
Klarna,84.3,A — Priority,Consumer Credit,"Sweden, UK",Yes,Public,Public (NYSE),Public,IPO 2025 (largest fintech IPO); BNPL->neobank; ~$14B+,High,88,100,72,70,75,BNPL->full banking; talent
Thunes,84.3,A — Priority,Payment Infrastructure,USA,Yes,Private,Series C,$1-10B,Global cross-border payment network; remittance rails,High,95,74,85,88,80,Direct cross-border/remittance rails — core
Kroo,84.1,A — Priority,Neobanks,UK,Yes,Private,Series B,$50-250M,UK neobank; deposits-led growth,Medium,90,100,60,86,70,UK talent
Anchor,84.1,A — Priority,Payment Infrastructure,Nigeria,,Private,Seed/Series A,<$50M,Nigeria BaaS/embedded finance API; YC,Medium,95,100,62,64,75,Nigeria — core market; infra
Plum,83.4,A — Priority,Savings / Investments / Wealth,UK,Yes,Private,Series B,$50-250M,UK savings+investing app; EU expansion,Medium,86,100,65,86,68,UK; savings+investments overlap
Lendable,83.3,A — Priority,Consumer Credit,UK,Yes,Private,Late/Growth,$1-10B,UK consumer lending unicorn ~$4B; profitable,High,88,100,60,76,75,UK talent; credit
Risevest,83.1,A — Priority,Savings / Investments / Wealth,Nigeria,,Private,Seed/Series A,<$50M,Nigeria USD investing for Africans; cross-border wealth,Medium,86,100,72,64,75,Nigeria — core; cross-border wealth
Lightyear,83.1,A — Priority,Savings / Investments / Wealth,"UK, Estonia",,Private,Series B,$50-250M,UK/Estonia investing app; fast-growing,Medium,86,100,58,86,72,UK; investments
Cowrywise,82.9,A — Priority,Savings / Investments / Wealth,Nigeria,,Private,Series A,<$50M,Nigeria savings+investing app,Medium,86,100,70,70,72,Nigeria — core; savings+investments
Paystack,82.7,A — Priority,Card Payment Processors,Nigeria,Yes,Subsidiary,Acquired (Stripe),n/a,"Nigeria payments, Stripe-owned; elite eng brand",High,78,100,70,78,78,Nigeria — premier eng talent (Stripe-grade)
Marshmallow,82.5,A — Priority,Insurtech,"UK, Estonia",Yes,Private,Series B,$1-10B,UK migrant-focused car insurance; ~$2B 2024; underserved-segment thesis,High,70,100,72,86,82,Underserved/migrant focus mirrors LemFi; UK
Nomba,82.4,A — Priority,Card Payment Processors,Nigeria,Yes,Private,Series B,$50-250M,Nigeria merchant payments; Base10/Shopify-backed,Medium,78,100,65,86,75,Nigeria — core market
Kredete,82.4,A — Priority,Remittance Payments,USA,Yes,Private,Seed/Series A,<$50M,African-diaspora remittance + credit-building on stablecoin rails,Medium,100,74,82,64,80,Direct competitor; stablecoin+credit overlap
Bamboo,82.3,A — Priority,Savings / Investments / Wealth,Nigeria,,Private,Series A,<$50M,Nigeria US-stocks investing app,Medium,86,100,68,70,70,Nigeria — core; investments
Airwallex,82,A — Priority,Payment Infrastructure,Singapore,Yes,Private,Series F,$10B+,Global cross-border B2B payments ~$10.6B+; hyper-growth; IPO-bound,High,95,62,85,78,92,Direct cross-border rails peer; hot
Zilch,82,A — Priority,Consumer Credit,UK,Yes,Private,Late/Growth,$1-10B,UK BNPL unicorn ~$2B; ad-subsidised model,Medium,88,100,60,76,68,UK talent; BNPL
Migo,81.7,A — Priority,Consumer Credit,UK,Yes,Private,Series B,$50-250M,Credit-as-a-service for EM (Nigeria/Brazil),Medium,88,100,62,86,58,EM credit infra
Stitch,81.7,A — Priority,Payment Infrastructure,India,Yes,Private,Series B,$50-250M,SA/Pan-African payments infra (pay-by-bank),Medium,95,80,68,86,72,Pan-African rails
Mercury,81.7,A — Priority,Neobanks,USA,,Private,Series D,$1-10B,$5.2B May-26; US startup banking; national charter path,High,90,74,68,84,90,US talent; hyper-growth
Juspay,81.6,A — Priority,Payment Infrastructure,India,,Private,Series D,$1-10B,India payments orchestration unicorn ~$1B,Medium,95,80,62,84,78,India corridor
Foodics,81.5,A — Priority,Superapps,Nigeria,Yes,Private,Series C,$250M-1B,Saudi/MENA restaurant-tech+fintech,Medium,82,100,62,88,65,MENA; multi-product
Adyen,81,A — Priority,Card Payment Processors,"UK, USA",Yes,Public,Public (Euronext),Public,Euronext:ADYEN; ~€40-50B; premier enterprise payments,High,78,100,72,70,72,Elite payments eng/commercial talent
Duplo,81,A — Priority,Payment Infrastructure,Nigeria,,Private,Seed,<$50M,Nigeria B2B payments,Low,95,100,58,58,65,Nigeria — core market
PhonePe,80.7,A — Priority,Superapps,India,,Private,Late/Growth,$1-10B,India payments superapp ~$12B; IPO-bound; dominant UPI,High,82,80,82,76,82,India corridor; multi-product; hot
Hubpay,80.7,A — Priority,Payment Infrastructure,UAE,,Private,Series A,$50-250M,UAE cross-border payments for SMEs/remittance,High,95,76,78,70,75,Gulf corridor; remittance-adjacent
Wagestream,80.7,A — Priority,Superapps,UK,Yes,Private,Series C,$250M-1B,UK earned-wage access+financial wellbeing,Medium,82,100,60,88,62,UK; financial-wellbeing
Mangopay,80.6,A — Priority,Payment Infrastructure,UK,Yes,Private,PE-backed,$250M-1B,UK/Lux marketplace payments infra,Medium,95,100,58,70,55,UK
Tabby,80.6,A — Priority,Consumer Credit,UAE,,Private,Series E,$1-10B,UAE/Saudi BNPL+ unicorn ~$3.3B; multi-product push,High,88,76,70,80,85,Gulf — hot; multi-product
Lenco,80.5,A — Priority,Neobanks,Nigeria,,Private,Series A,<$50M,Nigeria/Pan-African SME banking,Medium,90,100,58,70,62,Nigeria — core market
Abound,80.4,A — Priority,Consumer Credit,UK,Yes,Private,Series A,$50-250M,UK AI-led consumer lending (Open Banking),Medium,88,100,58,70,65,UK; OB-driven credit
Mono,80.4,A — Priority,Open Banking,Nigeria,,Private,Series A,$50-250M,Nigeria open-banking/financial-data API; YC,High,72,100,72,70,78,Nigeria — core; OB/data infra
Niyo,80.4,A — Priority,Neobanks,India,,Private,Series C,$250M-1B,India neobank; cross-border/forex cards for travellers,Medium,90,80,72,88,68,India corridor + forex overlap
Pyypl,80.2,A — Priority,Payment Infrastructure,UAE,,Private,Series B,$50-250M,UAE/MENA payments for underbanked,Medium,95,76,70,86,68,Gulf; underbanked thesis
Creditspring,80.1,A — Priority,Consumer Credit,UK,Yes,Private,Series B,$50-250M,UK subscription credit,Low,88,100,55,86,55,UK
Atom Bank,79.9,A — Priority,Neobanks,UK,,Private,Late/Growth,$250M-1B,UK app bank; pre-IPO,Medium,90,100,58,76,55,UK talent
Cover Genius,79.9,A — Priority,Insurtech,"Australia, UK",Yes,Private,Series E,$1-10B,Embedded insurance; ~$1B+ val 2024; global embedded distribution,Medium,70,100,68,80,75,Embedded insurance — relevant to LemFi insurance product
ClearBank,79.6,A — Priority,Banking Infrastructure,UK,Yes,Private,Late/Growth,$1-10B,UK clearing/embedded banking ~$1B+; profitable,High,74,100,62,76,75,UK infra; rails talent
Dojo,79.6,A — Priority,Card Payment Processors,UK,Yes,Private,Late/Growth,$1-10B,UK SMB card payments unicorn; profitable,Medium,78,100,58,76,72,UK talent
Groww,79.6,A — Priority,Savings / Investments / Wealth,India,,Public,Public (NSE/BSE),Public,India investing platform; IPO 2025; ~$7B+,High,86,80,68,70,85,India corridor; investments — GM I&S relevant
SumUp,79.6,A — Priority,Card Payment Processors,"UK, Germany",,Private,Late/Growth,$1-10B,UK/Germany SMB payments ~$8.5B; profitable,Medium,78,100,60,76,70,UK/EU talent
Carbon,79.5,A — Priority,Consumer Credit,Nigeria,,Private,Private,$50-250M,Nigeria digital lending/bank,Medium,88,100,62,68,58,Nigeria — core market
Ozow,79.5,A — Priority,Payment Infrastructure,South Africa,Yes,Private,Series B,$50-250M,SA instant EFT/pay-by-bank,Medium,95,80,62,86,65,SA market; A2A rails
Aella,79.5,A — Priority,Consumer Credit,Nigeria,,Private,Seed/Series A,<$50M,Nigeria consumer lending,Medium,88,100,60,64,62,Nigeria — core market
Wahed,79.5,A — Priority,Savings / Investments / Wealth,UAE,,Private,Series C,$250M-1B,Global Islamic/halal investing; diaspora-focused,High,86,76,72,88,75,Halal investing for diaspora — LemFi-adjacent
Updraft,79.5,A — Priority,Consumer Credit,UK,,Private,Series A,$50-250M,UK credit-consolidation app,Low,88,100,55,70,62,UK
KreditBee,79.2,A — Priority,Consumer Credit,India,,Private,Series E,$1-10B,"India consumer lending ~$1.5B (Mar-26, $280m Series E)",High,88,80,60,80,80,India corridor; hot round
Experian,79.2,A — Priority,Consumer Credit,UK,Yes,Public,Public (LSE),Public,LSE:EXPN; global credit bureau; data/analytics,High,88,100,62,70,55,UK; credit-data talent
Checkout.com,79.2,A — Priority,Card Payment Processors,UK,Yes,Private,Late/Growth,$1-10B,"UK payments; ~$40B peak, repriced; still major",High,78,100,72,76,58,UK — top payments talent
Freetrade,79,A — Priority,Savings / Investments / Wealth,UK,Yes,Subsidiary,Acquired (IG),n/a,"UK neobroker, IG-owned 2025",Medium,86,100,58,78,55,UK; investments
CinetPay,79,A — Priority,Card Payment Processors,Cote d'Ivoire,,Private,Seed/Series A,<$50M,Cote d'Ivoire pan-Francophone payments aggregator,Medium,78,95,65,64,78,Francophone WA — core hiring market
Tandem Bank,78.9,A — Priority,Neobanks,UK,Yes,Private,Late/Growth,$250M-1B,UK green digital bank,Medium,90,100,55,76,52,UK talent
Interswitch,78.9,A — Priority,Card Payment Processors,Nigeria,Yes,Private,Late/Growth,$1-10B,Nigeria payments incumbent ~$1B; Visa-backed,High,78,100,70,76,58,Nigeria — core market; rails talent
InvestEngine,78.9,A — Priority,Savings / Investments / Wealth,UK,,Private,Series A,$50-250M,UK low-cost ETF investing,Low,86,100,55,70,62,UK; investments
Paddle,78.9,A — Priority,Card Payment Processors,UK,Yes,Private,Series D,$1-10B,UK SaaS merchant-of-record ~$1.4B,Medium,78,100,55,84,65,UK talent
Moneyfarm,78.8,A — Priority,Savings / Investments / Wealth,"UK, Italy",,Private,Series D,$250M-1B,UK/Italy digital wealth,Medium,86,100,55,84,52,UK; wealth
Thought Machine,78.7,A — Priority,Banking Infrastructure,UK,Yes,Private,Series D,$1-10B,UK core-banking ~$2.7B; Vault platform,High,74,100,58,84,68,UK infra talent — top engineering
Banked,78.7,A — Priority,Consumer Credit,UK,Yes,Private,Series A,$50-250M,UK pay-by-bank/account-to-account,Low,88,100,55,70,58,UK; A2A
Brass,78.5,A — Priority,Neobanks,Nigeria,,Private,Seed/Series A,<$50M,Nigeria SME banking; acquired/recap 2023,Medium,90,100,58,64,55,Nigeria — core market
INDmoney,78.5,A — Priority,Savings / Investments / Wealth,India,,Private,Series D,$250M-1B,India wealth/US-stocks investing app,Medium,86,80,65,84,72,India corridor; investments
Renmoney,78.4,A — Priority,Consumer Credit,Nigeria,,Private,Private,$50-250M,Nigeria consumer lending,Low,88,100,58,68,55,Nigeria — core market
Paymob,78.4,A — Priority,Card Payment Processors,Egypt,Yes,Private,Series B,$250M-1B,Egypt/MENA/Pakistan payments; fast-growing,High,78,80,68,86,80,MENA + Pakistan corridors
Nutmeg,78.3,A — Priority,Savings / Investments / Wealth,UK,,Subsidiary,JPMorgan-owned,n/a,"UK robo-advisor, JPM/Chase-owned",Medium,86,100,55,83,50,UK; wealth talent
TrueLayer,78.2,A — Priority,Open Banking,UK,Yes,Private,Series E,$1-10B,UK open-banking/A2A payments unicorn ~$1B,High,72,100,65,80,65,UK; A2A rails talent
Chime,78.2,A — Priority,Neobanks,USA,,Public,Public (Nasdaq),Public,"IPO Jun-25 ($864m, largest US neobank IPO); 22m+ users",High,90,74,68,70,80,US talent
Robinhood,78,A — Priority,Savings / Investments / Wealth,USA,,Public,Public (Nasdaq),Public,Nasdaq:HOOD; US investing leader; multi-product expansion,High,86,74,72,70,82,US; investments — hot; multi-product
Plend,78,A — Priority,Consumer Credit,UK,Yes,Private,Seed/Series A,<$50M,UK ethical consumer lending (Open Banking),Low,88,100,55,64,58,UK; OB credit
Razorpay,78,A — Priority,Card Payment Processors,India,,Private,Series F,$1-10B,India payments unicorn ~$7.5B; multi-product,High,78,80,72,78,80,India corridor; multi-product
Neo Financial,78,A — Priority,Neobanks,Canada,,Private,Series D,$1-10B,Canada neobank unicorn ~$1B; C$68.5m Jan-25,Medium,90,70,65,84,78,Diaspora destination
Watu,77.9,B — Strong,Consumer Credit,Kenya,Yes,Private,Private/Growth,$50-250M,Kenya/East-Africa asset (boda) financing; fast-growing,Medium,88,82,62,74,72,East Africa market
Navi,77.8,B — Strong,Neobanks,India,,Private,Late/Growth,$1-10B,India lending+neobank (Sachin Bansal); ~$2B,Medium,90,80,68,76,65,India corridor
Jar,77.8,B — Strong,Savings / Investments / Wealth,India,,Private,Series C,$250M-1B,India micro-savings/gold app,Medium,86,80,62,88,68,India corridor; savings
Sparkle,77.7,B — Strong,Neobanks,Nigeria,,Private,Seed/Series A,<$50M,Nigeria neobank,Low,90,100,55,69,50,Nigeria — core market
Griffin,77.7,B — Strong,Banking Infrastructure,UK,Yes,Private,Series A,$50-250M,UK BaaS with banking licence,Medium,74,100,60,70,70,UK infra talent
NOW Money,77.5,B — Strong,Neobanks,UAE,,Private,Series A,<$50M,UAE banking for migrant/low-income workers,Medium,90,76,72,70,70,Migrant-worker focus = LemFi-adjacent
Current,77.5,B — Strong,Neobanks,USA,,Private,Series D,$1-10B,US neobank; 90%+ rev growth,Medium,90,74,62,84,72,US talent
Fi (epiFi),77.5,B — Strong,Neobanks,India,,Private,Series C,$250M-1B,India neobank ~$0.6B,Medium,90,80,62,88,60,India diaspora corridor
SoFi,77.4,B — Strong,Neobanks,USA,,Public,Public (Nasdaq),Public,Nasdaq:SOFI; US chartered fintech bank; multi-product,High,90,74,75,70,70,US talent; multi-product model
Wealthsimple,77.3,B — Strong,Savings / Investments / Wealth,Canada,,Private,Late/Growth,$1-10B,Canada wealth+banking ~$3.5B; multi-product; fast-growing,High,86,70,72,76,80,Diaspora destination; multi-product
Amplifi Capital,77.2,B — Strong,Consumer Credit,UK,Yes,Private,Private,<$50M,UK near-prime lending (Reevo/My Community Finance),Low,88,100,52,73,50,UK
Curve,77.2,B — Strong,Credit Cards,UK,,Private,Series C,$250M-1B,UK card-aggregation+wallet,Medium,74,100,60,88,55,UK; wallet
Token.io,77.2,B — Strong,Open Banking,UK,,Private,Series C,$50-250M,UK A2A/open-banking payments,Low,72,100,60,88,58,UK; A2A
Money View,77.1,B — Strong,Consumer Credit,India,,Private,Series E,$1-10B,India consumer lending unicorn ~$1.2B,Medium,88,80,58,80,70,India corridor
Jupiter,77.1,B — Strong,Neobanks,India,,Private,Series C,$250M-1B,India neobank,Medium,90,80,62,88,58,India corridor
Yonder,77.1,B — Strong,Credit Cards,UK,Yes,Private,Series A,$50-250M,UK premium rewards credit card; fast-growing,Medium,74,100,58,70,68,UK; consumer credit talent
Yango,77,B — Strong,Superapps,UAE,,Private,Private/Growth,$1-10B,MENA/Africa superapp (rides->fintech); expanding,Medium,82,76,78,74,72,Africa/MENA expansion; multi-product
Tala,77,B — Strong,Consumer Credit,USA,Yes,Private,Series E,$500M-1B,US/EM micro-credit (Kenya/Philippines/Mexico/India),High,88,74,68,80,70,EM credit; Philippines + Kenya overlap
Decentro,77,B — Strong,Payment Infrastructure,India,,Private,Series A,$50-250M,India banking/payments API,Low,95,80,58,70,65,India corridor
10x Banking,77,B — Strong,Banking Infrastructure,UK,Yes,Private,Series C,$250M-1B,UK cloud core-banking; Engine-style,Medium,74,100,55,88,58,UK infra talent
Salad Money,77,B — Strong,Consumer Credit,UK,,Private,Private,<$50M,UK public-sector employee lending (OB),Low,88,100,52,68,52,UK
Wealthify,76.9,B — Strong,Savings / Investments / Wealth,UK,,Subsidiary,Aviva-owned,n/a,"UK robo-advisor, Aviva-owned",Low,86,100,52,83,45,UK
Thndr,76.9,B — Strong,Savings / Investments / Wealth,Egypt,Yes,Private,Series A,$50-250M,Egypt/MENA retail investing; fast-growing,Medium,86,80,62,70,75,Egypt/MENA; investments
Zerodha,76.9,B — Strong,Savings / Investments / Wealth,India,,Private,Bootstrapped,$1-10B,India's largest broker; highly profitable; bootstrapped,High,86,80,62,70,75,India corridor; investments leader
Tymit,76.7,B — Strong,Credit Cards,UK,Yes,Private,Series B,$50-250M,UK instalment credit cards,Low,74,100,55,86,58,UK
smallcase,76.6,B — Strong,Savings / Investments / Wealth,India,,Private,Series C,$250M-1B,India investing/portfolios,Medium,86,80,58,88,65,India corridor; investments
Valu,76.6,B — Strong,Consumer Credit,Egypt,Yes,Public,Public (EGX),Public,Egypt BNPL/consumer finance; listed 2025,Medium,88,80,65,70,68,Egypt market; BNPL
Yapily,76.6,B — Strong,Open Banking,UK,Yes,Private,Series B,$50-250M,UK open-banking infra,Medium,72,100,58,86,58,UK; OB infra
Teya,76.6,B — Strong,Card Payment Processors,"UK, Latvia",Yes,Private,Late/Growth,$1-10B,UK/EU SMB payments (ex-SaltPay),Medium,78,100,58,76,55,UK talent
Naked,76.4,B — Strong,Insurtech,UK,Yes,Private,Series B,$50-250M,SA AI-driven insurance; DEG-backed,Medium,70,100,52,86,65,SA market
Careem,76.3,B — Strong,Superapps,UAE,,Subsidiary,Uber-owned,$1-10B,MENA superapp (Uber); Careem Pay,Medium,82,76,82,78,62,MENA; superapp model
118 118 Money,76.3,B — Strong,Consumer Credit,UK,Yes,Private,Private,<$50M,UK near-prime consumer credit,Low,88,100,52,73,45,UK
Tink,76.3,B — Strong,Open Banking,"UK, Sweden",,Subsidiary,Visa-owned,n/a,"Sweden/UK OB leader, Visa-owned",Medium,72,100,62,78,58,OB data talent
YuLife,76.2,B — Strong,Insurtech,UK,Yes,Private,Series C,$250M-1B,UK group life/wellbeing insurtech; ~$0.8B,Medium,70,100,55,88,60,UK talent
Oakbrook,76,B — Strong,Consumer Credit,UK,,Private,Private,<$50M,UK consumer lending,Low,88,100,50,73,45,UK
Sarwa,75.9,B — Strong,Savings / Investments / Wealth,UAE,,Private,Series B,$50-250M,UAE robo-advisor+investing; MENA,Medium,86,76,62,86,65,Gulf; investments
Cashfree Payments,75.9,B — Strong,Card Payment Processors,India,,Private,Series C,$250M-1B,India payments+payouts,Medium,78,80,62,88,70,India corridor
Block,75.9,B — Strong,Superapps,USA,Yes,Public,Public (NYSE),Public,NYSE:XYZ; Square+Cash App+Afterpay; multi-product,High,82,74,82,70,68,US; multi-product fintech talent
Fibe,75.8,B — Strong,Consumer Credit,India,,Private,Series E,$250M-1B,India consumer lending,Medium,88,80,55,80,65,India corridor
Open,75.8,B — Strong,Neobanks,India,,Private,Series D,$1-10B,India SME neobank unicorn ~$1B,Medium,90,80,60,84,55,India corridor
Nubank,75.8,B — Strong,Neobanks,Brazil,Yes,Public,Public (NYSE),Public,>$60B mkt cap; 125m+ customers; LatAm; US charter approval Jan-26,High,90,52,82,70,88,Premier EM neobank talent
M2P Fintech,75.7,B — Strong,Banking Infrastructure,India,,Private,Series D,$1-10B,India API banking infra ~$1B,Medium,74,80,62,84,78,India corridor; infra
YouLend,75.7,B — Strong,Business Lending,UK,,Private,Late/Growth,$250M-1B,UK embedded SME finance; partners w/ Amazon etc.,Medium,64,100,58,76,72,UK; embedded; partnerships
Bud,75.6,B — Strong,Open Banking,UK,,Private,Series B,$50-250M,UK open-banking data/AI,Low,72,100,55,86,55,UK
Axio,75.5,B — Strong,Consumer Credit,India,,Subsidiary,Acquired (Amazon),n/a,"India BNPL/credit, Amazon-acquired 2025",Medium,88,80,58,78,62,India corridor
